name,greekName,romanName,category,description,status,defense,attack,gender,images__thumbnail,images__regular,relatives__father,relatives__mother,descritpion,greekname,isgod
Hermes,"Ἑρμῆς, Hērmēs",Mercury,major olympians,"God of boundaries, travel, communication, trade, language, and writing. The son of Zeus and Maia, Hermes is the messenger of the gods, and a psychopomp who leads the souls of the dead into the afterlife. He was depicted either as a handsome and athletic beardless youth, or as an older bearded man. His attributes include the herald's wand or caduceus, winged sandals, and a traveler's cap. His sacred animals include the tortoise. His Roman counterpart is Mercury.",immortal,10000,10000,male,,https://upload.wikimedia.org/wikipedia/commons/4/49/Francesco_Albani_-_Apollo_and_Hermes_%281635%29.jpg,,,,,no
Hestia,"Ἑστία, Hestía",Vesta,major olympians,"Virgin goddess of the hearth, home, and chastity. She is a daughter of Rhea and Cronus, and a sister of Zeus. Not often identifiable in Greek art, she appeared as a modestly veiled woman. Her symbols are the hearth and kettle. In some accounts, she gave up her seat as one of the Twelve Olympians in favor of Dionysus, and she plays little role in Greek myths. Her Roman counterpart Vesta, however, was a major deity of the Roman state.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Hestia_tapestry.jpg/764px-Hestia_tapestry.jpg,,,,,no
Poseidon,"Ποσειδῶν, Poseidōn",Neptune,major olympians,"God of the sea, rivers, floods, droughts, and earthquakes. He is a son of Cronus and Rhea, and the brother of Zeus and Hades. He rules one of the three realms of the universe, as king of the sea and the waters. In art he is depicted as a mature man of sturdy build, often with a luxuriant beard, and holding a trident. His sacred animals include the horse and the dolphin. His wedding with Amphitrite is often presented as a triumphal procession. In some stories he rapes Medusa, leading to her transformation into a hideous Gorgon and also to the birth of their two children, Pegasus and Chrysaor. His Roman counterpart is Neptune.",immortal,10000,10000,male,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Poseidon_Penteskouphia_Louvre_CA452.jpg/625px-Poseidon_Penteskouphia_Louvre_CA452.jpg,,,,,no
Zeus,"Ζεύς, Zeus",Jupiter,major olympians,"King of the gods, ruler of Mount Olympus, and god of the sky, weather, thunder, lightning, law, order, and justice. He is the youngest son of Cronus and Rhea. He overthrew Cronus and gained the sovereignty of heaven for himself. In art he is depicted as a regal, mature man with a sturdy figure and dark beard. His usual attributes are the royal scepter and the lightning bolt. His sacred animals include the eagle and the bull. His Roman counterpart is Jupiter, also known as Jove.",immortal,50000,9910000,male,,https://upload.wikimedia.org/wikipedia/commons/6/66/Le_Jupiter_Olympien_ou_l%27art_de_la_sculpture_antique.jpg,,,,,no
Coeus,Κοῖος (Koîos),,twelve titan,Titan of intellect and the axis of heaven around which the constellations revolved.,immortal,10000,10000,male,,,,,,,no
Crius,Κρεῖος (Kreîos),,twelve titan,"The least individualized of the Twelve Titans, he is the father of Astraeus, Pallas, and Perses. Implied to be the Titan of constellations.",immortal,10000,10000,male,,,,,,,no
Cronus,Κρόνος (Kronos),,twelve titan,"Titan of harvests and personification of destructive time. The leader of the Titans, who overthrew his father Uranus only to be overthrown in turn by his son, Zeus. Not to be confused with Chronos.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/The_Mutiliation_of_Uranus_by_Saturn.jpg/800px-The_Mutiliation_of_Uranus_by_Saturn.jpg,,,,,no
Hyperion,Ὑπερίων (Hyperíōn),,twelve titan,"Titan of light. With Theia, he is the father of Helios (the sun), Selene (the moon), and Eos (the dawn).",immortal,10000,10000,male,,,,,,,no
Iapetus,Ἰαπετός (Iapetós),,twelve titan,"Titan of mortality and father of Prometheus, Epimetheus, Menoetius, and Atlas.",immortal,10000,10000,male,,,,,,,no
Mnemosyne,Mνημοσύνη (Mnēmosýnē),,twelve titan,"Titaness of memory and remembrance, and mother of the Nine Muses.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Mnemosyne_%28color%29_Rossetti.jpg/495px-Mnemosyne_%28color%29_Rossetti.jpg,,,,,no
Oceanus,Ὠκεανός (Ōceanós),,twelve titan,"Titan of the all-encircling river Oceans around the earth, the fount of all the Earth's fresh-water.",immortal,10000,10000,male,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Nereus%2C_Doris%2C_Okeanos_Pergamonaltar.JPG/640px-Nereus%2C_Doris%2C_Okeanos_Pergamonaltar.JPG,,,,,no
Phoebe,Φοίβη (Phoíbē),,twelve titan,"Titaness of the ""bright"" intellect and prophecy, and consort of Koios.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Giocatrici-di-astragali.JPG/723px-Giocatrici-di-astragali.JPG,,,,,no
Rhea,Ῥέα (Rhéa),,twelve titan,"Titaness of fertility, motherhood and the mountain wilds. She is the sister and consort of Cronus, and mother of Zeus, Hades, Poseidon, Hera, Demeter, and Hestia.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Rh%C3%A9a_pr%C3%A9sentant_une_pierre_emmaillot%C3%A9e_%C3%A0_Cronos_dessin_du_bas-relief_d%27un_autel_romain.jpg,,,,,no
Tethys,Τηθύς (Tēthýs),,twelve titan,"Titaness of fresh-water, and the mother of the rivers, springs, streams, fountains, and clouds.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/en/6/60/Tethys_mosaic_83d40m_Phillopolis_mid4th_century_-p2fx.2.jpg,,,,,no
Theia,Θεία (Theía),,twelve titan,"Titaness of sight and the shining light of the clear blue sky. She is the consort of Hyperion, and mother of Helios, Selene, and Eos.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/e/e6/Pergamonmuseum_-_Antikensammlung_-_Pergamonaltar_32.jpg,,,,,no
Themis,Θέμις (Thémis),,twelve titan,Titaness of divine law and order.,immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/c/ca/Goddess_of_justice.jpg,,,,,no
Asteria,Ἀστερία (Astería),,titan,Titaness of nocturnal oracles and falling stars.,immortal,900,505,female,,,,,,,no
Astraeus,Ἀστραῖος (Astraîos),,titan,"Titan of dusk, stars, and planets, and the art of astrology.",immortal,23535,355,male,,,,,,,no
Atlas,Ἄτλας (Átlas),,titan,Titan forced to carry the heavens upon his shoulders by Zeus. Also Son of Iapetus.,immortal,215,3525,male,,https://upload.wikimedia.org/wikipedia/commons/5/52/Atlas_Santiago_Toural_GFDL.jpg,,,,,no
Aura,Αὔρα (Aúra),,titan,"Titaness of the breeze and the fresh, cool air of early morning.",immortal,1235,235,female,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Las_Incantadas_Louvre_Ma1393_side_A.jpg,,,,,no
Clymene,Κλυμένη (Clyménē),,titan,"Titaness of renown, fame, and infamy, and wife of Iapetus.",immortal,235,23525,female,,,,,,,no
Dione,Διώνη (Diṓnē),,titan,Titaness of the oracle of Dodona.,immortal,2352,233,female,,,,,,,no
Helios,Ἥλιος (Hḗlios),,titan,Titan of the sun and guardian of oaths.,immortal,3235,3522,male,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Ilion---metopa.jpg,,,,,no
Selene,Σελήνη (Selḗnē),,titan,Titaness of the moon.,immortal,2355,23525,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Altar_Selene_Louvre_Ma508.jpg/746px-Altar_Selene_Louvre_Ma508.jpg,,,,,no
Eos,Ἠώς (Ēṓs),,titan,Titaness of the dawn.,immortal,23552,2355,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Eos_Memnon_Louvre_G115.jpg/774px-Eos_Memnon_Louvre_G115.jpg,,,,,no
Epimetheus,Ἐπιμηθεύς (Epimētheús),,titan,Titan of afterthought and the father of excuses.,immortal,800,800,male,,https://upload.wikimedia.org/wikipedia/commons/5/51/Pandora%27s_gift_to_Epimetheus.jpg,,,,,no
Eurybia,Εὐρυβία (Eurybía),,titan,Titaness of the mastery of the seas and consort of Krios.,immortal,2352,2352,female,,,,,,,no
Eurynome,Εὐρυνόμη (Eurynómē),,titan,"Titaness of water-meadows and pasturelands, and mother of the three Charites by Zeus.",immortal,3235,3235,female,,https://upload.wikimedia.org/wikipedia/commons/6/64/Greek_Eros_vase.png,,,,,no
Lelantos,Λήλαντος (Lēlantos),,titan,Titan of air and the hunter's skill of stalking prey. He is the male counterpart of Leto.,immortal,2355,2355,male,,,,,,,no
Leto,Λητώ (Lētṓ),,titan,"Titaness of motherhood and mother of the twin Olympians, Artemis and Apollo.",immortal,23552,23552,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Tityos_Leto_Louvre_G42.jpg/922px-Tityos_Leto_Louvre_G42.jpg,,,,,no
Menoetius,Μενοίτιος (Menoítios),,titan,"Titan of violent anger, rash action, and human mortality. Killed by Zeus.",immortal,800,800,male,,,,,,,no
Metis,Μῆτις (Mē̂tis),,titan,"Titaness of good counsel, advice, planning, cunning, craftiness, and wisdom. Mother of Athena.",immortal,2352,2352,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Winged_goddess_Louvre_F32.jpg/799px-Winged_goddess_Louvre_F32.jpg,,,,,no
Ophion,Ὀφίων (Ophíōn),,titan,"An elder Titan, in some versions of the myth he ruled the Earth with his consort Eurynome before Cronus overthrew him. Another account describes him as a snake, born from the ""World Egg""",immortal,3235,3235,male,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Orphic-egg.png,,,,,no
Pallas,Πάλλας (Pállas),,titan,Titan of warcraft. He was killed by Athena during the Titanomachy.,immortal,2355,2355,male,,,,,,,no
Perses,Πέρσης (Pérsēs),,titan,Titan of destruction.,immortal,23552,23552,male,,,,,,,no
Prometheus,Προμηθεύς (Promētheús),,titan,"Titan of forethought and crafty counsel, and creator of mankind.",immortal,800,800,male,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Prometheus_Adam_Louvre_MR1745_edit_atoma.jpg/578px-Prometheus_Adam_Louvre_MR1745_edit_atoma.jpg,,,,,no
Styx,Στύξ (Stýx),,titan,Titaness of the Underworld river Styx and personification of hatred.,immortal,100,200,female,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Dor%C3%A9_-_Styx.jpg,,,,,no
Agrius,,,giant," According to Apollodorus, he was killed by the Moirai (Fates) with bronze clubs.",immortal,100,200,male,,,,,,,yes
Alcyoneus,,,giant," According to Apollodorus, he was (along with Porphyrion), the greatest of the Giants; immortal while fighting in his native land, he was dragged from his homeland and killed by Heracles. According to Pindar, he was a herdsman, and in a separate battle from the Gigantomachy was killed by Heracles and Telamon, while they were traveling through Phlegra. Representations of Heracles fighting Alcyoneus are found on many sixth century BC and later works of art.",immortal,100,200,male,,,,,,,yes
Alektos/Allektos,,,giant," Named on the late sixth century Siphnian Treasury (Alektos), and the second century BC Pergamon Altar (Allektos).",immortal,100,200,male,,,,,,,yes
Aristaeus,,,giant," According to the Suda, he was the only Giant to ""survive"". He Is probably named on an Attic black-figure dinos by Lydos (Akropolis 607) dating from the second quarter of the sixth century BC, fighting Hephaestus.",immortal,100,200,male,,,,,,,yes
Asterius/Astarias/Aster,,,giant,"(""Bright One"" or ""Glitterer""): A Giant, also called Aster, killed by Athena, whose death, according to some accounts, was celebrated by the Panathenaea. Probably the same as the Giant Astarias named on the late sixth century Siphnian Treasury. Probably also the same as Asterus, mentioned in the epic poem Meropis, as an invulnerable warrior killed by Athena. In the poem, Heracles, fighting the Meropes, a race of Giants, on the Island of Kos, would have been killed but for Athena's intervention. Athena kills and flays Asterus and uses his impenetrable skin for her aegis. Other accounts name others whose hyde provided Athena's aegis: Apollodrus has Athena flay the Giant Pallas, while Euripides' Ion has Gorgon, here considered to be a Giant, as Athena's victim.",immortal,100,200,male,,,,,,,yes
Clytius,,,giant," According to Apollodorus, he was killed by Hecate with her torches.",immortal,100,200,male,,,,,,,yes
Enceladus,,,giant," Euripides has Athena fighting him with her ""Gorgon shield"" (her aegis). According to Apollodorus, he was crushed by Athena under the Island of Sicily. Virgil has him struck by Zeus' lightning bolt, and both Virgil and Claudian have him buried under Mount Etna, (other traditions had Typhon or Briareus buried under Etna). For some Enceladus was instead buried in Italy.",immortal,100,200,male,,,,,,,yes
Ephialtes,,,giant,"(probably different from the Aload Giant who was also named Ephialtes): According to Apollodorus he was blinded by arrows from Apollo and Heracles. He is named on three Attic black-figure pots (Akropolis 2134, Getty 81.AE.211, Louvre E732) dating from the second quarter of the sixth century BC. On Louvre E732, he is, along with Hyperbios and Agasthenes, opposed by Zeus, while on Getty 81.AE.211, his opponents are apparently Apollo and Artemis. He is also named on the late sixth century BC Siphnian Treasury, where he is probably one of the opponents of Apollo and Artemis, and probably as well on what might be the earliest representation of the Gigantomachy, a pinax fragment from Eleusis (Eleusis 349). He is also named on a late fifth century BC cup from Vulci (Berlin F2531), shown battling Apollo. Although the usual opponent of Poseidon among the Giants is Polybotes, one early fifth century red-figure column krater (Vienna 688) has Poseidon attacking Ephialtes.",immortal,100,100,male,,,,,,,yes
Euryalus,,,giant, He is named on a late sixth century red-figure cup (Akropolis 2.211) and an early fifth century red-figure cup (British Museum E 47) fighting Hephaestos.,immortal,100,100,male,,,,,,,yes
Eurymedon,,,giant," According to Homer, he was a king of the Giants and father of Periboea (mother of Nausithous, king of the Phaeacians, by Poseidon), who ""brought destruction on his froward people"". He was possibly the Eurymedon who raped Hera producing Prometheus as offspring. He is probably named on Akropolis 2134. He is possibly mentioned by the Latin poet Propertius as an opponent of Jove.",immortal,100,100,male,,,,,,,yes
Eurytus,,,giant," According to Apollodorus, he was killed by Dionysus with his thyrsus.",immortal,100,100,male,,,,,,,yes
Gration,,,giant," According to Apollodorus, he was killed by Artemis.",immortal,100,100,male,,,,,,,yes
Hopladamas (or Hopladamus),,,giant,": Possibly named (as Hoplodamas) on two vases dating from the second quarter of the sixth century BC, on one (Akropolis 607) being speared by Apollo, while on the other (Getty 81.AE.211) attacking Zeus. Mentioned (as Hopladamus) by the geographer Pausanias as being a leader of Giants enlisted by the Titaness Rhea, pregnant with Zeus, to defend herself from her husband Cronus.",immortal,100,100,male,,,,,,,yes
Hippolytus,,,giant," According to Apollodorus, he was killed by Hermes, who was wearing Hades' helmet, which made its wearer invisible.",immortal,100,100,male,,,,,,,yes
Lion or Leon,,,giant," Possibly a Giant, he is mentioned by Photius (as ascribed to Ptolemy Hephaestion) as a giant who was challenged to single combat by Heracles and killed. Lion-headed Giants are shown on the Gigantomachy frieze of the second century BC Pergamon Altar.",immortal,100,200,male,,,,,,,yes
Mimas/Mimon/Mimos,,,giant," According to Apollodorus, he was killed by Hephaestus. Euripides has Zeus burning him ""to ashes"" with his thunderbolt. According to others he was killed by Ares. ""Mimos""—possibly in error for ""Mimas""—is inscribed (retrograde) on Akropolis 607. He was said to be buried under Prochyte. Mimas is possibly the same as the Giant named Mimon on the late sixth century BC Siphnian Treasury, as well as on a late fifth century BC cup from Vulci (Berlin F2531) shown fighting Ares. Several depictions in Greek art, though, show Aphrodite as the opponent of Mimas.",immortal,200,100,male,,,,,,,yes
Pallas,,,giant," According to Apollodorus, he was flayed by Athena, who used his skin as a shield. Other accounts name others whose hyde provided Athena's aegis: the epic poem Meropis has Athena kill and flay the Giant Asterus while Euripides' Ion has Gorgon, here considered to be a Giant, as Athena's victim. Claudian names him as one of several Giants turned to stone by Minerva's Gorgon shield.",immortal,100,100,male,,,,,,,yes
Pelorus,,,giant," According to Claudian, he was killed by Mars, the Roman equivalent of Ares.",immortal,100,100,male,,,,,,,yes
Picolous,,,giant," A Gigas who had become infatuated with Circe and attempted to capture her, only to be killed by Helios. It is said that the legendary moly plant first sprang forth from Picolous' blood as it seeped into the ground.",immortal,100,100,male,,,,,,,yes
Polybotes,,,giant," According to Apollodorus, he was crushed under Nisyros, a piece of the island of Kos broken off and thrown by Poseidon. He is named on two sixth century BC pots, on one (Getty 81.AE.211) he is opposed by Zeus, on the other (Louvre E732) he is opposed by Poseidon carrying Nisyros on his shoulder.",immortal,100,100,male,,,,,,,yes
Porphyrion,,,giant," According to Apollodorus, he was (along with Alcyoneus), the greatest of the Giants, he attacked Heracles and Hera but Zeus ""smote him with a thunderbolt, and Hercules shot him dead with an arrow."" According to Pindar, who calls him ""king of the Giants"", he was slain by an arrow from the bow of Apollo. He is named on a late fifth century BC cup from Vulci (Berlin F2531), where he is battling with Zeus. He was also probably named on the late sixth century BC Siphnian Treasury.",immortal,100,100,male,,,,,,,yes
Thoas/Thoon,,,giant," According to Apollodorus, he was killed by the Moirai (Fates) with bronze clubs.",immortal,100,400,male,,,,,,,yes
Otus/Otos (Aloadae),Ότος (Ἀλῳάδαι),,giant,twin giants who attempted to climb to Olympus by piling mountains on top of each other.,immortal,100,100,male,,,,,,,yes
Ephialtes (Aloadae),Εφιάλτης (Ἀλῳάδαι),,giant,twin giants who attempted to climb to Olympus by piling mountains on top of each other.,immortal,100,100,male,,,,,,,yes
Anax,Αναξ,,giant,"was a giant of the island of Lade near Miletos in Lydia, Anatolia.",immortal,100,100,male,,,,,,,yes
Antaeus,Ἀνταῖος,,giant,a Libyan giant who wrestled all visitors to the death until he was slain by Heracles,immortal,100,100,male,,,,,,,yes
Antiphates,Ἀντιφάτης,,giant,the king of the man-eating giants known as Laestrygones which were encountered by Odysseus on his travels.,immortal,100,100,male,,,,,,,yes
Argus Panoptes,Ἄργος Πανόπτης,,giant,a hundred-eyed giant tasked with guarding over Io,immortal,100,100,male,,,,,,,yes
Asterius,Αστεριος,,giant,a Lydian giant.,immortal,200,100,male,,,,,,,yes
Cacus,Κακος,,giant,a fire-breathing Latin giant slain by Heracles.,immortal,100,200,male,,,,,,,yes
Arges (Elder Cyclopes),Ἄργης,,giant,"One of three one-eyed giants who forged the lightning-bolts of Zeus, Trident of Poseidon and Helmet of Hades",immortal,100,100,male,,,,,,,yes
Brontes (Elder Cyclopes),Βρόντης,,giant,"One of three one-eyed giants who forged the lightning-bolts of Zeus, Trident of Poseidon and Helmet of Hades",immortal,100,100,male,,,,,,,yes
Steropes (Elder Cyclopes),Στερόπης,,giant,"One of three one-eyed giants who forged the lightning-bolts of Zeus, Trident of Poseidon and Helmet of Hades",immortal,100,100,male,,,,,,,yes
Polyphemus,Πολύφημος,,giant,"a cyclops who briefly captured Odysseus and his men, only to be overcome and blinded by the hero",immortal,100,100,male,,,,,,,yes
Gegenees,Γηγενέες,,giant,a tribe of six-armed giants fought by the Argonauts on Bear Mountain in Mysia,immortal,200,100,male,,,,,,,yes
Geryon,Γηρυων,,giant,a three-bodied giant who dwelt on the sunset isle at the ends of the earth. He was slain by Heracles when the hero arrived to fetch the giant's cattle as one of his twelve labours.,immortal,100,100,male,,,,,,,yes
Hekatonkheires,Ἑκατόγχειρες,Centimanes,giant,"the Hundred-Handed Ones, giant gods of violent storms and hurricanes. Three sons of Uranus and Gaia, each with their own distinct characters.",immortal,100,100,male,,,,,,,yes
Briareus,Βριάρεως,,giant,"or Aigaion (Αἰγαίων), The Vigorous - see [Hekatonkheires]",immortal,100,100,male,,,,,,,yes
Cottus,Κόττος,,giant,The Furious - see [Hekatonkheires],immortal,100,100,male,,,,,,,yes
Gyges,Γύγης,,giant,The Big-Limbed - see [Hekatonkheires],immortal,100,100,male,,,,,,,yes
Laestrygonians,Λαιστρυγόνες,,giant,a tribe of man-eating giants encountered by Odysseus on his travels,immortal,100,100,male,,,,,,,yes
Orion,Ὠρίων,,giant,a giant huntsman whom Zeus placed among the stars as the constellation of Orion,immortal,100,100,male,,,,,,,yes
Talos,Τάλως,,giant,"a giant forged from bronze by Hephaestus, and given by Zeus to his lover Europa as her personal protector",immortal,200,200,male,,,,,,,yes
Tityos,Τίτυος,,giant,a giant slain by Apollo and Artemis when he attempted to violate their mother Leto.,immortal,100,100,male,,,,,,,yes
Typhon,Τυφῶν,,giant,a monstrous immortal storm-giant who attempted to launch an attack on Mt. Olympus but was defeated by the Olympians and imprisoned in the pits of Tartarus,immortal,100,100,male,,,,,,,yes
Achlys,Ἀχλύς,,deity,"spirit of the death-mist, personification of sadness, misery and poison",immortal,100,100,female,,,,,,,yes
Adephagia,Ἀδηφαγία,,deity,spirit of satiety and gluttony,immortal,100,100,female,,,,,,,yes
Adikia,Ἀδικία,,deity,spirit of injustice and wrongdoing,immortal,100,100,male,,,,,,,yes
Aergia,Ἀεργία,,deity,"spirit of idleness, laziness, indolence and sloth",immortal,100,100,male,,,,,,,yes
Agon,Ἀγών,,deity,"spirit of contest, who possessed an altar at Olympia, site of the Olympic Games.",immortal,100,100,male,,,,,,,yes
